,x,y,w,h,protein,TE,avg_gray,25_gray,50_gray,75_gray
7,931,668,67,45,0.1,153,196.06803685329552,190.0,196.0,200.0
8,411,767,78,49,0.06,153,190.93246311010216,185.0,192.0,195.0
8,546,760,65,42,0.09,153,203.78341013824885,195.0,203.0,211.0
8,681,756,59,40,0.09,153,192.92037037037036,184.0,193.0,199.0
8,786,755,58,39,0.09,153,196.1942857142857,188.0,195.0,202.0
8,910,761,62,39,0.09,153,190.65151515151516,185.0,190.0,196.0
1,380,91,75,50,0.09,162,170.20413870246085,164.0,171.0,174.0
1,506,89,68,47,0.17,162,178.51881188118813,174.0,179.0,182.0
1,649,86,62,43,0.15,162,166.76332288401255,162.0,167.0,170.0
1,786,84,61,44,0.17,162,168.80715396578537,164.0,169.0,172.0
1,904,87,63,45,0.15,162,162.89970059880238,159.0,163.0,166.0
1,1033,83,62,42,0.0,162,158.51239669421489,155.0,159.0,161.0
2,366,188,75,48,0.07,162,176.17118155619596,172.0,176.0,180.0
2,509,187,73,49,0.15,162,192.87306317044101,185.0,193.0,199.0
2,636,186,69,47,0.13,162,179.65572715572716,175.0,180.0,184.0
2,787,180,67,46,0.15,162,190.76762037683181,185.0,191.0,195.0
2,929,176,67,44,0.13,162,170.82160278745644,163.0,170.0,177.0
2,1045,181,65,41,0.0,162,169.75094055680964,162.0,171.0,174.0
3,369,288,77,49,0.08,162,180.84722222222223,174.0,182.0,186.0
3,503,286,75,49,0.14,162,195.64323685764916,188.0,196.0,202.0
3,644,292,72,50,0.13,162,179.58960887332165,172.0,179.0,186.0
3,785,278,69,47,0.14,162,193.77331606217618,186.0,194.0,200.0
3,917,274,68,45,0.13,162,181.34466666666665,177.0,181.0,185.0
4,369,384,81,52,0.07,162,182.41646008924144,175.0,182.0,187.0
4,505,380,73,48,0.13,162,176.56209150326796,170.0,176.0,182.0
4,648,380,72,47,0.12,162,191.66771752837326,183.0,191.0,198.0
4,788,375,71,47,0.13,162,193.03305249513934,186.0,193.0,199.0
4,926,378,69,47,0.12,162,180.80880420499344,175.0,180.0,184.0
5,375,486,78,49,0.07,162,179.1455525606469,171.0,181.0,187.0
5,504,483,76,49,0.12,162,187.49942396313364,180.0,187.0,193.0
5,649,473,74,49,0.11,162,191.78937381404174,186.0,193.0,196.0
5,794,470,71,47,0.12,162,186.43237971391417,180.0,186.0,192.0
5,935,472,70,46,0.11,162,175.43709468223088,171.0,175.0,180.0
6,372,576,80,50,0.06,162,179.67708333333334,173.0,180.0,184.0
6,508,578,75,50,0.11,162,187.37793024585477,180.0,187.0,193.0
6,648,571,72,47,0.1,162,186.38972431077696,178.0,187.0,193.0
6,784,573,70,48,0.11,162,188.9956057752668,183.0,188.0,194.0
6,932,570,70,45,0.1,162,175.59278350515464,171.0,175.0,180.0
7,385,674,78,51,0.07,162,178.38586387434555,173.0,179.0,182.0
7,529,669,73,48,0.1,162,196.3386211104332,187.0,196.0,203.0
7,652,663,68,46,0.1,162,211.03637611530542,202.0,211.0,217.0
7,787,666,68,45,0.1,162,202.19405099150143,196.0,201.0,207.0
7,931,668,67,45,0.1,162,195.40886347390995,189.0,195.0,200.0
8,411,767,78,49,0.06,162,187.92454954954954,181.0,188.0,192.0
8,546,760,65,42,0.09,162,202.4547600314713,195.0,202.0,209.0
8,681,756,59,40,0.09,162,191.7697907188353,181.0,193.0,198.0
8,786,755,58,39,0.09,162,195.72937905468027,188.0,195.0,202.0
8,910,761,62,39,0.09,162,187.3881636205396,181.0,187.0,192.0
1,380,91,75,50,0.09,171,170.31684269038354,164.0,171.0,175.0
1,506,89,68,47,0.17,171,179.7513774104683,176.0,179.0,184.0
1,649,86,62,44,0.15,171,167.34706331045004,162.0,168.0,171.0
1,786,84,60,44,0.17,171,169.29170090386197,165.0,170.0,173.0
1,904,87,63,45,0.15,171,169.13053613053614,164.0,170.0,172.0
1,1033,83,62,42,0.0,171,163.23880597014926,159.0,163.0,167.0
2,366,188,75,48,0.07,171,177.99277376320177,173.0,178.0,181.0
2,509,187,73,49,0.15,171,193.36524822695034,186.0,192.0,199.0
2,636,186,69,47,0.13,171,179.59225213394615,176.0,179.0,183.0
2,787,180,67,46,0.15,171,190.91353887399464,186.0,191.0,195.0
2,929,176,67,45,0.13,171,174.71398601398602,165.0,173.0,182.0
2,1045,181,66,41,0.0,171,171.53504144687264,163.0,171.0,178.0
3,369,288,77,49,0.08,171,183.2805208898535,176.0,184.0,187.0
3,503,286,75,49,0.14,171,197.08680142687277,189.0,197.0,203.0
3,644,292,72,50,0.13,171,180.59305210918114,173.0,180.0,186.0
3,785,278,69,47,0.14,171,195.97093023255815,188.0,195.0,203.0
3,917,274,68,45,0.13,171,184.4872521246459,179.0,185.0,188.0
4,369,384,81,52,0.07,171,183.76358839050133,177.0,184.0,191.0
4,505,380,74,48,0.13,171,176.78919860627178,171.0,177.0,182.0
4,648,380,72,47,0.12,171,192.05298013245033,184.0,192.0,199.0
4,788,375,71,47,0.13,171,194.83476536682087,188.0,195.0,201.0
4,926,378,69,47,0.12,171,182.88338762214983,178.0,183.0,187.0
5,375,486,78,49,0.07,171,183.69555170421722,174.0,185.0,191.0
5,504,483,76,49,0.12,171,189.24366359447004,183.0,189.0,195.0
5,649,473,74,49,0.11,171,191.87063778580023,185.0,192.0,196.0
5,794,470,71,47,0.12,171,188.14698331193838,183.0,187.0,193.0
5,935,472,70,46,0.11,171,178.03086816720258,172.0,178.0,182.0
6,372,576,80,50,0.06,171,183.84044233807268,178.0,185.0,188.0
6,508,577,75,51,0.11,171,190.41143180531975,183.0,191.0,196.0
6,649,571,71,47,0.1,171,185.22072348252607,178.0,185.0,192.0
6,784,573,70,48,0.11,171,188.92909987669543,182.0,189.0,195.0
6,932,570,70,45,0.1,171,176.85881542699724,172.0,177.0,180.0
7,385,674,78,51,0.07,171,183.40805223068554,178.0,184.0,188.0
7,529,669,73,48,0.1,171,200.0747198007472,190.0,200.0,207.0
7,652,663,68,46,0.1,171,211.95977808599167,204.0,212.0,218.0
7,787,666,68,45,0.1,171,202.04628330995791,197.0,201.0,206.0
7,931,669,67,44,0.1,171,196.26590421729807,191.0,196.0,201.0
8,411,767,78,49,0.06,171,192.21650055370986,186.0,192.0,197.0
8,546,760,65,42,0.09,171,205.66306861989207,196.0,206.0,213.0
8,681,757,59,38,0.09,171,192.9733455882353,184.0,193.0,200.0
8,786,755,58,39,0.09,171,196.15769593956563,188.0,195.0,203.0
8,910,761,62,39,0.09,171,189.14432109308282,183.0,189.0,194.0
1,380,91,75,50,0.09,18,187.11791642816257,182.0,188.0,191.0
1,506,89,68,47,0.17,18,186.61410256410255,182.0,187.0,189.0
1,649,86,62,43,0.15,18,178.02379182156133,174.0,178.0,181.0
1,786,84,60,44,0.17,18,175.55529037390613,171.0,176.0,179.0
1,904,87,63,45,0.15,18,175.3941818181818,171.0,176.0,178.0
1,1033,83,62,42,0.0,18,180.84064665127022,176.0,182.0,183.0
2,365,188,76,48,0.07,18,195.68757126567846,191.0,196.0,199.0
2,509,188,73,48,0.15,18,200.51421938479396,193.0,201.0,207.0
2,636,186,69,47,0.13,18,198.26129666011786,195.0,198.0,202.0
2,787,180,67,46,0.15,18,198.59959893048128,194.0,198.0,203.0
2,929,176,67,45,0.13,18,191.44701754385966,183.0,191.0,198.0
2,1045,181,66,41,0.0,18,191.09429657794678,183.0,192.0,196.0
3,369,288,77,50,0.08,18,199.6434494195688,192.0,201.0,205.0
3,503,286,75,49,0.14,18,203.96596244131456,195.0,204.0,210.0
3,644,292,72,50,0.13,18,193.13082437275986,185.0,193.0,200.0
3,785,278,69,47,0.14,18,201.78341013824885,194.0,202.0,208.0
3,917,274,68,45,0.13,18,196.71914609739827,192.0,197.0,200.0
4,369,384,81,52,0.07,18,202.36461388074292,195.0,202.0,208.0
4,504,380,75,48,0.13,18,202.9802210587551,196.0,203.0,209.0
4,648,380,72,47,0.12,18,203.15520389531346,195.0,203.0,210.0
4,788,375,71,47,0.13,18,201.3254324151185,194.0,201.0,208.0
4,926,378,69,47,0.12,18,193.4007807417046,189.0,194.0,197.0
5,375,486,78,49,0.07,18,195.88986301369863,186.0,197.0,202.0
5,504,483,76,49,0.12,18,201.02434881087203,195.0,201.0,207.0
5,649,473,74,49,0.11,18,207.49081209247186,201.0,207.0,212.0
5,794,470,71,47,0.12,18,201.274213836478,195.0,201.0,206.0
5,935,472,70,46,0.11,18,192.40733464309102,187.0,192.0,196.0
6,372,576,80,50,0.06,18,197.21726041144004,190.0,198.0,201.0
6,508,578,75,50,0.11,18,200.88215859030836,193.0,201.0,207.0
6,648,571,72,48,0.1,18,205.6969887076537,197.0,206.0,212.0
6,784,573,70,48,0.11,18,202.98485804416404,197.0,202.0,208.0
6,932,570,70,45,0.1,18,195.51882272416154,191.0,195.0,199.0
7,385,674,78,51,0.07,18,195.2135135135135,189.0,196.0,200.0
7,529,669,73,48,0.1,18,206.75830258302582,198.0,207.0,214.0
7,652,663,68,46,0.1,18,216.04722792607802,209.0,216.0,222.0
7,787,666,68,45,0.1,18,213.71061762664817,209.0,213.0,219.0
7,931,669,67,44,0.1,18,201.668085106383,196.0,201.0,206.0
8,411,767,78,49,0.06,18,204.94338565022423,198.0,206.0,209.0
8,546,760,65,42,0.09,18,210.86793893129772,203.0,210.0,218.0
8,681,756,59,40,0.09,18,208.5702479338843,200.0,209.0,215.0
8,786,755,58,39,0.09,18,208.1542750929368,201.0,207.0,214.0
8,910,761,62,39,0.09,18,205.9895287958115,200.0,206.0,211.0
1,380,91,75,50,0.09,180,170.16864608076008,164.0,171.0,174.0
1,506,89,68,47,0.17,180,180.04737183646984,176.0,180.0,184.0
1,649,86,62,43,0.15,180,168.95932463545662,164.0,170.0,172.0
1,786,84,61,44,0.17,180,169.75020080321286,165.0,171.0,173.0
1,904,87,63,45,0.15,180,164.8185104844541,161.0,164.0,169.0
1,1033,83,62,42,0.0,180,157.61859732072497,155.0,157.0,161.0
