,Unnamed: 0,x,y,w,h,protein,protein_type,TE,avg_gray,25_gray,50_gray,75_gray
754,8,787,755,57,39,0.0902,clIscA1/clCry4(LB +FAC),45,196.0625,188.0,195.0,203.0
586,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),216,193.31495327102803,184.0,192.0,200.0
460,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),189,192.86037735849052,185.0,192.0,199.0
628,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),225,197.91503267973857,190.0,197.0,204.0
502,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),198,198.33428571428573,190.0,197.0,205.0
1048,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),99,197.89738805970148,190.0,197.0,204.0
208,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),144,194.97390493942217,188.0,195.0,202.0
964,8,787,755,57,39,0.0902,clIscA1/clCry4(LB +FAC),9,197.377358490566,188.0,197.0,205.0
250,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),153,196.1942857142857,188.0,195.0,202.0
82,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),117,198.88997078870497,190.0,199.0,206.0
166,8,787,755,57,39,0.0902,clIscA1/clCry4(LB +FAC),135,198.90255439924317,190.0,198.0,206.0
922,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),81,201.36964618249533,193.0,200.0,209.0
880,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),72,199.6439888164026,192.0,199.0,206.0
796,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),54,199.7062675397568,192.0,199.0,206.0
40,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),108,202.3263757115749,194.0,202.0,209.0
838,8,787,755,57,39,0.0902,clIscA1/clCry4(LB +FAC),63,200.30418604651163,193.0,199.0,207.0
1006,8,787,755,57,39,0.0902,clIscA1/clCry4(LB +FAC),90,200.0306976744186,192.0,199.0,206.0
124,8,786,755,58,39,0.0902,clIscA1/clCry4(LB +FAC),126,196.97214484679665,189.0,196.0,203.0
705,7,530,669,72,48,0.1001,clIscA1/clCry4(LB +FAC),36,202.3427672955975,193.0,203.0,210.0
159,7,530,669,72,48,0.1001,clIscA1/clCry4(LB +FAC),135,202.0957055214724,193.0,202.0,209.0
873,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),72,203.4482551143201,193.0,203.0,211.0
411,7,530,669,72,48,0.1001,clIscA1/clCry4(LB +FAC),180,196.4204322200393,186.0,198.0,204.0
369,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),18,206.75830258302585,198.0,207.0,214.0
663,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),27,207.2243107769424,197.0,208.0,214.0
285,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),162,196.3386211104332,187.0,196.0,203.0
453,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),189,196.16248506571088,186.0,196.0,203.0
201,7,530,669,72,48,0.1001,clIscA1/clCry4(LB +FAC),144,195.44437577255871,186.0,195.0,203.0
621,7,530,669,72,48,0.1001,clIscA1/clCry4(LB +FAC),225,197.18159357628164,187.0,197.0,205.0
75,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),117,200.86006191950463,191.0,202.0,208.0
495,7,530,669,72,48,0.1001,clIscA1/clCry4(LB +FAC),198,199.07337780473011,189.0,198.0,206.0
999,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),90,204.6326530612245,194.0,205.0,212.0
579,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),216,194.84790874524717,186.0,196.0,203.0
33,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),108,206.462996941896,195.0,208.0,214.0
537,7,530,669,72,48,0.1001,clIscA1/clCry4(LB +FAC),207,196.9820987654321,187.0,197.0,205.0
1041,7,530,669,72,48,0.1001,clIscA1/clCry4(LB +FAC),99,199.6639751552795,190.0,201.0,207.0
117,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),126,201.4436137071651,190.0,201.0,209.0
957,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),9,207.14285714285717,198.0,207.0,214.0
915,7,530,669,72,48,0.1001,clIscA1/clCry4(LB +FAC),81,204.65758513931888,196.0,205.0,212.0
789,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),54,202.9152542372881,192.0,203.0,210.0
747,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),45,203.1945107398568,193.0,204.0,210.0
831,7,530,669,72,48,0.1001,clIscA1/clCry4(LB +FAC),63,203.06346272335185,194.0,203.0,210.0
243,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),153,198.459324155194,189.0,199.0,205.0
327,7,529,669,73,48,0.1001,clIscA1/clCry4(LB +FAC),171,200.0747198007472,190.0,200.0,207.0
917,7,787,666,68,45,0.1002,clIscA1/clCry4(LB +FAC),81,208.51894210150107,203.0,209.0,214.0
665,7,787,666,68,44,0.1002,clIscA1/clCry4(LB +FAC),27,210.68705035971223,205.0,211.0,216.0
329,7,787,666,68,45,0.1002,clIscA1/clCry4(LB +FAC),171,202.04628330995791,197.0,201.0,206.0
119,7,787,666,68,44,0.1002,clIscA1/clCry4(LB +FAC),126,205.71159217877096,200.0,206.0,210.0
455,7,786,666,69,44,0.1002,clIscA1/clCry4(LB +FAC),189,198.34277816171388,192.0,198.0,203.0
287,7,787,666,68,45,0.1002,clIscA1/clCry4(LB +FAC),162,202.19405099150143,196.0,201.0,207.0
959,7,787,666,68,44,0.1002,clIscA1/clCry4(LB +FAC),9,210.1990223463687,204.0,210.0,215.0
749,7,787,666,68,44,0.1002,clIscA1/clCry4(LB +FAC),45,206.8579197824609,201.0,206.0,212.0
77,7,787,666,68,44,0.1002,clIscA1/clCry4(LB +FAC),117,205.8169798190675,199.0,206.0,211.0
497,7,786,666,69,45,0.1002,clIscA1/clCry4(LB +FAC),198,205.7920792079208,199.0,205.0,212.0
791,7,787,666,68,45,0.1002,clIscA1/clCry4(LB +FAC),54,208.57194504699928,203.0,208.0,212.0
1001,7,787,666,68,45,0.1002,clIscA1/clCry4(LB +FAC),90,209.11723163841808,203.0,209.0,214.0
581,7,787,666,68,45,0.1002,clIscA1/clCry4(LB +FAC),216,200.87721788502483,194.0,200.0,206.0
35,7,787,666,68,45,0.1002,clIscA1/clCry4(LB +FAC),108,210.66526610644257,205.0,210.0,215.0
539,7,787,666,68,44,0.1002,clIscA1/clCry4(LB +FAC),207,200.12526096033403,194.0,199.0,205.0
1043,7,787,666,68,44,0.1002,clIscA1/clCry4(LB +FAC),99,203.97667844522968,198.0,203.0,209.0
623,7,787,666,68,44,0.1002,clIscA1/clCry4(LB +FAC),225,202.7676008202324,197.0,203.0,208.0
413,7,786,666,69,45,0.1002,clIscA1/clCry4(LB +FAC),180,204.7699564586357,199.0,205.0,210.0
203,7,787,666,68,45,0.1002,clIscA1/clCry4(LB +FAC),144,201.52875952875957,196.0,201.0,207.0
245,7,786,666,69,44,0.1002,clIscA1/clCry4(LB +FAC),153,202.5487144790257,197.0,202.0,207.0
707,7,787,666,68,44,0.1002,clIscA1/clCry4(LB +FAC),36,208.35658914728683,203.0,208.0,213.0
833,7,787,666,68,44,0.1002,clIscA1/clCry4(LB +FAC),63,208.1418588399721,202.0,208.0,213.0
371,7,787,666,68,45,0.1002,clIscA1/clCry4(LB +FAC),18,213.71061762664817,209.0,213.0,219.0
161,7,787,666,68,44,0.1002,clIscA1/clCry4(LB +FAC),135,205.76522929500345,200.0,206.0,211.0
875,7,786,666,69,44,0.1002,clIscA1/clCry4(LB +FAC),72,208.2624403544649,202.0,208.0,213.0
532,6,508,578,75,50,0.1101,clIscA1/clCry4(LB +FAC),207,185.5444759206799,177.0,185.0,192.0
574,6,508,578,75,50,0.1101,clIscA1/clCry4(LB +FAC),216,184.6123348017621,175.0,184.0,191.0
784,6,508,578,75,50,0.1101,clIscA1/clCry4(LB +FAC),54,194.5963045912654,186.0,194.0,200.0
1036,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),99,191.68026460859977,184.0,191.0,197.0
952,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),9,199.9972191323693,192.0,200.0,206.0
196,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),144,186.91335941866964,179.0,187.0,193.0
490,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),198,188.74827586206897,181.0,189.0,195.0
70,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),117,191.36941580756013,184.0,191.0,198.0
826,6,508,578,75,50,0.1101,clIscA1/clCry4(LB +FAC),63,195.75527666856817,188.0,196.0,201.0
616,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),225,186.5817142857143,179.0,186.0,193.0
280,6,508,578,75,50,0.1101,clIscA1/clCry4(LB +FAC),162,187.3779302458548,180.0,187.0,193.0
364,6,508,578,75,50,0.1101,clIscA1/clCry4(LB +FAC),18,200.8821585903084,193.0,201.0,207.0
322,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),171,190.41143180531972,183.0,191.0,196.0
742,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),45,194.8310810810811,188.0,195.0,201.0
28,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),108,196.68174204355108,188.0,196.0,204.0
994,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),90,196.55537006121315,188.0,197.0,203.0
154,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),135,193.2524752475248,186.0,193.0,199.0
112,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),126,191.22346996069624,183.0,191.0,198.0
868,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),72,195.07605633802817,187.0,195.0,202.0
910,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),81,196.30580357142856,189.0,197.0,202.0
406,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),180,187.47835738068807,179.0,187.0,194.0
700,6,508,578,75,50,0.1101,clIscA1/clCry4(LB +FAC),36,195.85099337748343,188.0,195.0,201.0
238,6,508,578,75,50,0.1101,clIscA1/clCry4(LB +FAC),153,188.31614730878184,181.0,188.0,195.0
448,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),189,185.3125,177.0,185.0,191.0
658,6,508,577,75,51,0.1101,clIscA1/clCry4(LB +FAC),27,199.69603524229075,192.0,199.0,206.0
1038,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),99,193.129234629862,187.0,192.0,197.0
534,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),207,186.35940409683425,180.0,186.0,191.0
912,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),81,198.24859462835727,191.0,198.0,203.0
996,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),90,197.515664160401,190.0,197.0,203.0
156,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),135,193.65179132620992,187.0,194.0,199.0
30,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),108,198.1534195933457,191.0,197.0,203.0
786,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),54,196.884076433121,191.0,197.0,203.0
576,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),216,185.5994897959184,179.0,185.0,190.0
366,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),18,202.98485804416404,197.0,202.0,208.0
240,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),153,189.95545796737767,183.0,190.0,194.0
198,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),144,188.32755417956656,182.0,188.0,194.0
282,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),162,188.9956057752668,183.0,188.0,194.0
870,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),72,196.6789737171464,190.0,197.0,202.0
744,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),45,196.5992509363296,190.0,196.0,202.0
954,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),9,201.97292191435767,195.0,201.0,207.0
324,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),171,188.92909987669543,182.0,189.0,195.0
450,6,784,573,70,48,0.1102,clIscA1/clCry4(LB +FAC),189,185.2614819350888,179.0,185.0,191.0
